1,0,0,0,0
2,30,30,1000,5
3,85,115,2000,5
4,175,290,3000,5
5,310,600,4000,5
6,500,1100,5000,5
7,755,1855,6000,5
8,1085,2940,7000,5
9,1500,4440,8000,5
10,2010,6450,9000,5
11,2625,9075,10000,5
12,3355,12430,11000,5
13,4210,16640,12000,5
14,5200,21840,13000,5
15,6335,28175,14000,5
16,7625,35800,15000,5
17,9080,44880,16000,5
18,10710,55590,17000,5
19,12525,68115,18000,5
20,14535,82650,19000,5
21,16750,99400,20000,5
22,19180,118580,21000,5
23,21835,140415,22000,5
24,24725,165140,23000,5
25,27860,193000,24000,5
26,31250,224250,25000,5
27,34905,259155,26000,5
28,38835,297990,27000,6
29,43050,341040,28000,7
30,47560,388600,29000,8
